cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
2;2019-04-16 12:43:36;4;12;0;0;0
2;2019-04-16 12:43:37;4;12;0;0;0
2;2019-04-16 12:43:38;4;12;0;0;0
2;2019-04-16 12:43:39;4;12;0;0;0
2;2019-04-16 12:43:40;4;12;0;0;0
2;2019-04-16 12:43:41;4;12;0;0;0
2;2019-04-16 12:43:42;4;12;0;0;0
2;2019-04-16 12:43:43;4;12;0;0;0
2;2019-04-16 12:43:44;4;12;0;0;0
2;2019-04-16 12:43:45;4;12;0;0;0
2;2019-04-16 12:43:46;4;12;0;0;0
2;2019-04-16 12:43:47;4;12;0;0;0
2;2019-04-16 12:43:48;4;12;0;0;0
2;2019-04-16 12:43:49;4;12;0;0;0
2;2019-04-16 12:43:50;4;12;0;0;0
2;2019-04-16 12:43:51;4;12;0;0;0
2;2019-04-16 12:43:52;4;12;0;0;0
2;2019-04-16 12:43:53;4;12;0;0;0
2;2019-04-16 12:43:54;4;12;0;0;0
2;2019-04-16 12:43:55;4;12;0;0;0
2;2019-04-16 12:43:56;4;12;0;0;0
2;2019-04-16 12:43:57;4;12;0;0;0
2;2019-04-16 12:43:58;4;12;0;0;0
2;2019-04-16 12:43:59;4;12;0;0;0
2;2019-04-16 12:44:00;4;12;0;0;0
2;2019-04-16 12:44:01;4;12;0;0;0
2;2019-04-16 12:44:02;4;12;0;0;0
2;2019-04-16 12:44:03;4;12;0;0;0
2;2019-04-16 12:44:04;4;12;0;0;0
2;2019-04-16 12:44:05;4;12;0;0;0
2;2019-04-16 12:44:06;4;12;0;0;0
2;2019-04-16 12:44:07;4;12;0;0;0
2;2019-04-16 12:44:08;4;12;0;0;0
2;2019-04-16 12:44:09;4;12;0;0;0
2;2019-04-16 12:44:10;4;12;0;0;0
2;2019-04-16 12:44:11;4;12;0;0;0
2;2019-04-16 12:44:12;4;12;0;0;0
2;2019-04-16 12:44:13;2;12;0;0;0
2;2019-04-16 12:44:14;2;12;0;0;0
2;2019-04-16 12:44:15;2;12;0;0;0
2;2019-04-16 12:44:16;2;12;0;0;0
2;2019-04-16 12:44:17;2;12;0;0;0
2;2019-04-16 12:44:18;2;12;0;0;0
2;2019-04-16 12:44:19;2;12;0;0;0
2;2019-04-16 12:44:20;2;12;0;0;0
2;2019-04-16 12:44:21;2;12;0;0;0
2;2019-04-16 12:44:22;2;12;0;0;0
2;2019-04-16 12:44:23;2;12;0;0;0
2;2019-04-16 12:44:24;2;12;0;0;0
2;2019-04-16 12:44:25;2;12;0;0;0
2;2019-04-16 12:44:26;2;12;0;0;0
2;2019-04-16 12:44:27;2;12;0;0;0
2;2019-04-16 12:44:28;2;12;0;0;0
2;2019-04-16 12:44:29;2;12;0;0;0
2;2019-04-16 12:44:30;2;12;0;0;0
2;2019-04-16 12:44:31;2;12;0;0;0
2;2019-04-16 12:44:32;2;12;0;0;0
2;2019-04-16 12:44:33;2;12;0;0;0
2;2019-04-16 12:44:34;2;12;0;0;0
2;2019-04-16 12:44:35;2;12;0;0;0
2;2019-04-16 12:44:36;2;12;0;0;0
2;2019-04-16 12:44:37;2;12;0;0;0
2;2019-04-16 12:44:38;2;12;0;0;0
2;2019-04-16 12:44:39;2;12;0;0;0
2;2019-04-16 12:44:40;2;12;0;0;0
2;2019-04-16 12:44:41;2;12;0;0;0
2;2019-04-16 12:44:42;2;12;0;0;0
2;2019-04-16 12:44:43;2;12;0;0;0
2;2019-04-16 12:44:44;2;12;0;0;0
2;2019-04-16 12:44:45;2;12;0;0;0
2;2019-04-16 12:44:46;2;12;0;0;0
2;2019-04-16 12:44:47;2;12;0;0;0
2;2019-04-16 12:44:48;2;12;0;0;0
2;2019-04-16 12:44:49;2;12;0;0;0
2;2019-04-16 12:44:50;2;12;0;0;0
2;2019-04-16 12:44:51;2;12;0;0;0
2;2019-04-16 12:44:52;2;12;0;0;0
2;2019-04-16 12:44:53;2;12;0;0;0
2;2019-04-16 12:44:54;2;12;0;0;0
2;2019-04-16 12:44:55;2;12;0;0;0
2;2019-04-16 12:44:56;2;12;0;0;0
2;2019-04-16 12:44:57;2;12;0;0;0
2;2019-04-16 12:44:58;2;12;0;0;0
2;2019-04-16 12:44:59;2;12;0;0;0
2;2019-04-16 12:45:00;2;12;0;0;0
2;2019-04-16 12:45:01;2;12;0;0;0
2;2019-04-16 12:45:02;2;12;0;0;0
2;2019-04-16 12:45:03;2;12;0;0;0
2;2019-04-16 12:45:04;2;12;0;0;0
2;2019-04-16 12:45:05;2;12;0;0;0
2;2019-04-16 12:45:06;2;12;0;0;0
2;2019-04-16 12:45:07;2;12;0;0;0
2;2019-04-16 12:45:08;2;12;0;0;0
2;2019-04-16 12:45:09;2;12;0;0;0
2;2019-04-16 12:45:10;2;12;0;0;0
2;2019-04-16 12:45:11;2;12;0;0;0
2;2019-04-16 12:45:12;2;12;0;0;0
2;2019-04-16 12:45:13;2;12;0;0;0
2;2019-04-16 12:45:14;2;12;0;0;0
2;2019-04-16 12:45:15;2;12;0;0;0
2;2019-04-16 12:45:16;2;12;0;0;0
2;2019-04-16 12:45:17;2;12;0;0;0
2;2019-04-16 12:45:18;2;12;0;0;0
2;2019-04-16 12:45:19;2;12;0;0;0
2;2019-04-16 12:45:20;2;12;0;0;0
2;2019-04-16 12:45:21;2;12;0;0;0
2;2019-04-16 12:45:22;2;12;0;0;0
2;2019-04-16 12:45:23;2;12;0;0;0
2;2019-04-16 12:45:24;2;12;0;0;0
2;2019-04-16 12:45:25;2;12;0;0;0
2;2019-04-16 12:45:26;2;12;0;0;0
2;2019-04-16 12:45:27;2;12;0;0;0
2;2019-04-16 12:45:28;2;12;0;0;0
2;2019-04-16 12:45:29;2;12;0;0;0
2;2019-04-16 12:45:30;2;12;0;0;0
2;2019-04-16 12:45:31;2;12;0;0;0
2;2019-04-16 12:45:32;2;12;0;0;0
2;2019-04-16 12:45:33;2;12;0;0;0
2;2019-04-16 12:45:34;2;12;0;0;0
2;2019-04-16 12:45:35;2;12;0;0;0
2;2019-04-16 12:45:36;2;12;0;0;0
2;2019-04-16 12:45:37;2;12;0;0;0
2;2019-04-16 12:45:38;2;12;0;0;0
2;2019-04-16 12:45:39;2;12;0;0;0
2;2019-04-16 12:45:40;2;12;0;0;0
2;2019-04-16 12:45:41;2;12;0;0;0
2;2019-04-16 12:45:42;2;12;0;0;0
2;2019-04-16 12:45:43;2;12;0;0;0
2;2019-04-16 12:45:44;2;12;0;0;0
2;2019-04-16 12:45:45;2;12;0;0;0
2;2019-04-16 12:45:46;2;12;0;0;0
2;2019-04-16 12:45:47;2;12;0;0;0
2;2019-04-16 12:45:48;2;12;0;0;0
2;2019-04-16 12:45:49;2;12;0;0;0
2;2019-04-16 12:45:50;2;12;0;0;0
2;2019-04-16 12:45:51;2;12;0;0;0
2;2019-04-16 12:45:52;2;12;0;0;0
2;2019-04-16 12:45:53;2;12;0;0;0
2;2019-04-16 12:45:54;2;12;0;0;0
2;2019-04-16 12:45:55;2;12;0;0;0
2;2019-04-16 12:45:56;2;12;0;0;0
2;2019-04-16 12:45:57;2;12;0;0;0
2;2019-04-16 12:45:58;2;12;0;0;0
2;2019-04-16 12:45:59;2;12;0;0;0
2;2019-04-16 12:46:00;2;12;0;0;0
2;2019-04-16 12:46:01;2;12;0;0;0
2;2019-04-16 12:46:02;2;12;0;0;0
2;2019-04-16 12:46:03;2;12;0;0;0
2;2019-04-16 12:46:04;2;12;0;0;0
2;2019-04-16 12:46:05;2;12;0;0;0
2;2019-04-16 12:46:06;2;12;0;0;0
2;2019-04-16 12:46:07;2;12;0;0;0
2;2019-04-16 12:46:08;2;12;0;0;0
2;2019-04-16 12:46:09;4;12;0;0;0
2;2019-04-16 12:46:10;4;12;0;0;0
2;2019-04-16 12:46:11;4;12;0;0;0
2;2019-04-16 12:46:12;4;12;0;0;0
2;2019-04-16 12:46:13;4;12;0;0;0
2;2019-04-16 12:46:14;4;12;0;0;0
2;2019-04-16 12:46:15;4;12;0;0;0
2;2019-04-16 12:46:16;4;12;0;0;0
2;2019-04-16 12:46:17;4;12;0;0;0
2;2019-04-16 12:46:18;4;12;0;0;0
2;2019-04-16 12:46:19;4;12;0;0;0
2;2019-04-16 12:46:20;4;12;0;0;0
2;2019-04-16 12:46:21;4;12;0;0;0
2;2019-04-16 12:46:22;4;12;0;0;0
2;2019-04-16 12:46:23;4;12;0;0;0
2;2019-04-16 12:46:24;4;12;0;0;0
2;2019-04-16 12:46:25;4;12;0;0;0
2;2019-04-16 12:46:26;4;12;0;0;0
2;2019-04-16 12:46:27;4;12;0;0;0
2;2019-04-16 12:46:28;4;12;0;0;0
2;2019-04-16 12:46:29;4;12;0;0;0
2;2019-04-16 12:46:30;4;12;0;0;0
2;2019-04-16 12:46:31;4;12;0;0;0
2;2019-04-16 12:46:32;4;12;0;0;0
2;2019-04-16 12:46:33;4;12;0;0;0
2;2019-04-16 12:46:34;4;12;0;0;0
2;2019-04-16 12:46:35;4;12;0;0;0
2;2019-04-16 12:46:36;4;12;0;0;0
2;2019-04-16 12:46:37;4;12;0;0;0
2;2019-04-16 12:46:38;4;12;0;0;0
2;2019-04-16 12:46:39;4;12;0;0;0
2;2019-04-16 12:46:40;4;12;0;0;0
2;2019-04-16 12:46:41;4;12;0;0;0
2;2019-04-16 12:46:42;4;12;0;0;0
